DATE,SALINITY,SALINITY_UNITS
2021-07-07,39.0,ppt
2021-07-08,39.0,ppt
2021-07-09,39.0,ppt
2021-07-10,39.0,ppt
2021-07-11,39.0,ppt
2021-07-12,37.0,ppt
2021-07-13,36.0,ppt
2021-07-14,36.0,ppt
2021-07-15,36.0,ppt
2021-07-16,38.0,ppt
2021-07-17,38.0,ppt
2021-07-18,38.0,ppt
2021-07-19,39.0,ppt
2021-07-20,38.0,ppt
2021-07-21,38.0,ppt
2021-07-22,37.0,ppt
2021-07-23,37.0,ppt
2021-07-24,37.0,ppt
2021-07-25,36.0,ppt
2021-07-26,35.0,ppt
2021-07-27,35.0,ppt
2021-07-28,35.0,ppt
2021-07-29,36.0,ppt
2021-07-30,36.0,ppt
2021-07-31,36.0,ppt
2021-08-01,36.0,ppt
2021-08-07,37.0,ppt
2021-08-08,37.0,ppt
2021-08-09,37.0,ppt
2021-08-10,37.0,ppt
2021-08-11,37.0,ppt
2021-08-12,37.0,ppt
2021-08-13,37.0,ppt
2021-08-14,36.0,ppt
2021-08-15,33.0,ppt
2021-08-16,33.0,ppt
2021-08-17,33.0,ppt
2021-08-18,34.0,ppt
2021-08-19,34.0,ppt
2021-08-20,34.0,ppt
2021-08-21,34.0,ppt
2021-08-22,35.0,ppt
2021-08-23,35.0,ppt
2021-08-24,35.0,ppt
2021-08-25,36.0,ppt
2021-08-26,34.0,ppt
2021-08-27,34.0,ppt
2021-08-28,35.0,ppt
2021-08-29,36.0,ppt
2021-08-31,36.0,ppt
2021-09-01,37.0,ppt
2021-09-02,37.0,ppt
2021-09-03,37.0,ppt
2021-09-04,38.0,ppt
2021-09-05,38.0,ppt
2021-09-06,38.0,ppt
2021-09-07,38.0,ppt
2021-09-08,39.0,ppt
2021-09-09,39.0,ppt
2021-09-10,39.0,ppt
2021-09-11,39.0,ppt
2021-09-12,39.0,ppt
2021-09-13,39.0,ppt
2021-09-14,38.0,ppt
2021-09-15,37.0,ppt
2021-09-16,37.0,ppt
2021-09-17,37.0,ppt
2021-09-18,37.0,ppt
2021-09-19,36.0,ppt
2021-09-20,36.0,ppt
2021-09-21,36.0,ppt
2021-09-24,36.0,ppt
2021-09-25,36.0,ppt
2021-09-26,36.0,ppt
2021-09-27,36.0,ppt
2021-09-28,37.0,ppt
2021-09-29,38.0,ppt
2021-09-30,38.0,ppt
2021-10-01,39.0,ppt
2021-10-02,39.0,ppt
2021-10-03,39.0,ppt
2021-10-04,39.0,ppt
2021-10-05,39.0,ppt
